,RK,Country,Points,Date Rating
0,1,France,1726.0,16.08.2018
1,2,Belgium,1723.0,16.08.2018
2,3,Brazil,1657.0,16.08.2018
3,4,Croatia,1643.0,16.08.2018
4,5,Uruguay,1627.0,16.08.2018
5,6,England,1615.0,16.08.2018
6,7,Portugal,1599.0,16.08.2018
7,8,Switzerland,1597.0,16.08.2018
8,9,Denmark,1580.0,16.08.2018
9,9,Spain,1580.0,16.08.2018
10,11,Argentina,1574.0,16.08.2018
11,12,Chile,1570.0,16.08.2018
12,13,Sweden,1565.0,16.08.2018
13,14,Colombia,1563.0,16.08.2018
14,15,Germany,1561.0,16.08.2018
15,16,Mexico,1560.0,16.08.2018
16,17,Netherlands,1540.0,16.08.2018
17,18,Poland,1538.0,16.08.2018
18,19,Wales,1536.0,16.08.2018
19,20,Peru,1535.0,16.08.2018
20,21,Italy,1532.0,16.08.2018
21,22,USA,1508.0,16.08.2018
22,23,Austria,1502.0,16.08.2018
23,24,Tunisia,1498.0,16.08.2018
24,24,Senegal,1498.0,16.08.2018
25,26,Slovakia,1493.0,16.08.2018
26,27,Northern Ireland,1492.0,16.08.2018
27,28,Romania,1490.0,16.08.2018
28,29,Republic of Ireland,1484.0,16.08.2018
29,30,Paraguay,1477.0,16.08.2018
30,31,Venezuela,1476.0,16.08.2018
31,32,Costa Rica,1471.0,16.08.2018
32,32,IR Iran,1471.0,16.08.2018
33,32,Iceland,1471.0,16.08.2018
34,35,Ukraine,1468.0,16.08.2018
35,36,Serbia,1459.0,16.08.2018
36,37,Congo DR,1456.0,16.08.2018
37,38,Turkey,1455.0,16.08.2018
38,39,Bosnia and Herzegovina,1452.0,16.08.2018
39,40,Scotland,1444.0,16.08.2018
40,41,Montenegro,1440.0,16.08.2018
41,42,Greece,1436.0,16.08.2018
42,43,Australia,1431.0,16.08.2018
43,44,Czech Republic,1430.0,16.08.2018
44,45,Ghana,1424.0,16.08.2018
45,46,Morocco,1418.0,16.08.2018
46,47,Cameroon,1416.0,16.08.2018
47,47,Bulgaria,1416.0,16.08.2018
48,49,Russia,1410.0,16.08.2018
49,49,Nigeria,1410.0,16.08.2018
50,51,Hungary,1409.0,16.08.2018
51,52,Burkina Faso,1408.0,16.08.2018
52,53,Norway,1406.0,16.08.2018
53,54,Jamaica,1400.0,16.08.2018
54,55,Slovenia,1392.0,16.08.2018
55,55,Japan,1392.0,16.08.2018
56,57,Korea Republic,1387.0,16.08.2018
57,58,Albania,1384.0,16.08.2018
58,59,Bolivia,1378.0,16.08.2018
59,60,Ecuador,1376.0,16.08.2018
60,61,Honduras,1368.0,16.08.2018
61,62,Finland,1364.0,16.08.2018
62,63,Mali,1360.0,16.08.2018
63,64,Cape Verde Islands,1356.0,16.08.2018
64,65,Egypt,1355.0,16.08.2018
65,66,Algeria,1351.0,16.08.2018
66,67,Côte d'Ivoire,1344.0,16.08.2018
67,67,Guinea,1344.0,16.08.2018
68,69,Panama,1343.0,16.08.2018
69,70,Saudi Arabia,1336.0,16.08.2018
70,70,FYR Macedonia,1336.0,16.08.2018
71,72,El Salvador,1332.0,16.08.2018
72,73,Syria,1328.0,16.08.2018
73,74,South Africa,1327.0,16.08.2018
74,75,China PR,1320.0,16.08.2018
75,76,Zambia,1315.0,16.08.2018
76,77,United Arab Emirates,1312.0,16.08.2018
77,78,Belarus,1306.0,16.08.2018
78,79,Canada,1304.0,16.08.2018
79,79,Lebanon,1304.0,16.08.2018
80,81,Curacao,1300.0,16.08.2018
81,82,Uganda,1296.0,16.08.2018
82,83,Congo,1292.0,16.08.2018
83,84,Oman,1288.0,16.08.2018
84,85,Luxembourg,1286.0,16.08.2018
85,86,Gabon,1284.0,16.08.2018
86,87,Cyprus,1280.0,16.08.2018
87,88,Benin,1276.0,16.08.2018
88,89,Iraq,1274.0,16.08.2018
89,90,Faroe Islands,1268.0,16.08.2018
90,91,Trinidad and Tobago,1264.0,16.08.2018
91,92,Kyrgyz Republic,1260.0,16.08.2018
92,93,Israel,1256.0,16.08.2018
93,94,Estonia,1250.0,16.08.2018
94,95,Uzbekistan,1247.0,16.08.2018
95,96,Georgia,1242.0,16.08.2018
96,96,India,1242.0,16.08.2018
97,98,Qatar,1236.0,16.08.2018
98,99,Palestine,1230.0,16.08.2018
99,100,Armenia,1227.0,16.08.2018
100,101,Libya,1224.0,16.08.2018
101,102,Vietnam,1220.0,16.08.2018
102,103,Niger,1216.0,16.08.2018
103,104,Haiti,1212.0,16.08.2018
104,105,Azerbaijan,1207.0,16.08.2018
105,106,Mauritania,1200.0,16.08.2018
106,107,Madagascar,1199.0,16.08.2018
107,108,Korea DPR,1196.0,16.08.2018
108,108,Central African Republic,1196.0,16.08.2018
109,110,Jordan,1192.0,16.08.2018
110,111,Sierra Leone,1188.0,16.08.2018
111,112,Kenya,1182.0,16.08.2018
112,113,Bahrain,1180.0,16.08.2018
113,114,Mozambique,1176.0,16.08.2018
114,115,Philippines,1172.0,16.08.2018
115,116,Kazakhstan,1167.0,16.08.2018
116,117,Namibia,1166.0,16.08.2018
117,118,Zimbabwe,1164.0,16.08.2018
118,119,New Zealand,1157.0,16.08.2018
119,120,Tajikistan,1156.0,16.08.2018
120,121,Guinea-Bissau,1148.0,16.08.2018
121,122,Thailand,1144.0,16.08.2018
122,123,Malawi,1140.0,16.08.2018
123,124,Togo,1136.0,16.08.2018
124,125,Chinese Taipei,1135.0,16.08.2018
125,126,Antigua and Barbuda,1132.0,16.08.2018
126,127,Lithuania,1130.0,16.08.2018
127,128,Sudan,1128.0,16.08.2018
128,129,Latvia,1122.0,16.08.2018
129,130,Turkmenistan,1120.0,16.08.2018
130,130,Andorra,1120.0,16.08.2018
131,132,Nicaragua,1116.0,16.08.2018
132,133,Yemen,1112.0,16.08.2018
133,134,Swaziland,1105.0,16.08.2018
134,135,St. Kitts and Nevis,1104.0,16.08.2018
135,136,Rwanda,1100.0,16.08.2018
136,137,Angola,1096.0,16.08.2018
137,138,Myanmar,1092.0,16.08.2018
138,139,Botswana,1089.0,16.08.2018
139,140,Tanzania,1084.0,16.08.2018
140,141,Kosovo,1080.0,16.08.2018
141,142,Hong Kong,1076.0,16.08.2018
142,143,Equatorial Guinea,1072.0,16.08.2018
